Rx rate: 1095180.3114   TxExt rate: 1095180.3114   TxInt rate: 1095180.3114
Rx rate: 1077486.40101   TxExt rate: 1077486.40101   TxInt rate: 1077486.40101
Rx rate: 1088824.1573   TxExt rate: 1088824.1573   TxInt rate: 1088824.1573
Rx rate: 1081725.76595   TxExt rate: 1081725.76595   TxInt rate: 1081725.76595
Rx rate: 1084680.06027   TxExt rate: 1084680.06027   TxInt rate: 1084680.06027
Rx rate: 1087231.92771   TxExt rate: 1087231.92771   TxInt rate: 1087231.92771
Rx rate: 1078980.81023   TxExt rate: 1078980.81023   TxInt rate: 1078980.81023
Rx rate: 1080863.75158   TxExt rate: 1080863.75158   TxInt rate: 1080863.75158
Rx rate: 1077331.82731   TxExt rate: 1077331.82731   TxInt rate: 1077331.82731
Rx rate: 1080063.75502   TxExt rate: 1080063.75502   TxInt rate: 1080063.75502
Rx rate: 1080699.29719   TxExt rate: 1080699.29719   TxInt rate: 1080699.29719
Rx rate: 1085603.41365   TxExt rate: 1085603.41365   TxInt rate: 1085603.41365
Rx rate: 1081578.84972   TxExt rate: 1081578.84972   TxInt rate: 1081578.84972
Rx rate: 1082774.59839   TxExt rate: 1082774.59839   TxInt rate: 1082774.59839
Rx rate: 1085940.93407   TxExt rate: 1085940.93407   TxInt rate: 1085940.93407
Rx rate: 1083055.59189   TxExt rate: 1083055.59189   TxInt rate: 1083055.59189
Rx rate: 1076859.15493   TxExt rate: 1076859.15493   TxInt rate: 1076859.15493
Rx rate: 1080474.26842   TxExt rate: 1080474.26842   TxInt rate: 1080474.26842
Rx rate: 1073581.52174   TxExt rate: 1073581.52174   TxInt rate: 1073581.52174
Rx rate: 1083437.5667   TxExt rate: 1083437.5667   TxInt rate: 1083437.5667
Rx rate: 1084004.38596   TxExt rate: 1084004.38596   TxInt rate: 1084004.38596
Rx rate: 1078779.78884   TxExt rate: 1078779.78884   TxInt rate: 1078779.78884
Rx rate: 1080331.82731   TxExt rate: 1080331.82731   TxInt rate: 1080331.82731
Rx rate: 1081584.6856   TxExt rate: 1081584.6856   TxInt rate: 1081584.6856
Rx rate: 1081087.20456   TxExt rate: 1081087.20456   TxInt rate: 1081087.20456
Rx rate: 1079677.12046   TxExt rate: 1079677.12046   TxInt rate: 1079677.12046
Rx rate: 1077029.99268   TxExt rate: 1077029.99268   TxInt rate: 1077029.99268
Rx rate: 1078598.2906   TxExt rate: 1078598.2906   TxInt rate: 1078598.2906
Rx rate: 1075442.21106   TxExt rate: 1075442.21106   TxInt rate: 1075442.21106
Rx rate: 1083364.18511   TxExt rate: 1083364.18511   TxInt rate: 1083364.18511
Rx rate: 1077148.45231   TxExt rate: 1077148.45231   TxInt rate: 1077148.45231
Rx rate: 1086372.89089   TxExt rate: 1086372.89089   TxInt rate: 1086372.89089
Rx rate: 1082159.13655   TxExt rate: 1082159.13655   TxInt rate: 1082159.13655
Rx rate: 1087383.6858   TxExt rate: 1087383.6858   TxInt rate: 1087383.6858
Rx rate: 1079278.16901   TxExt rate: 1079278.16901   TxInt rate: 1079278.16901
Rx rate: 1081652.29111   TxExt rate: 1081652.29111   TxInt rate: 1081652.29111
Rx rate: 1079641.6615   TxExt rate: 1079641.6615   TxInt rate: 1079641.6615
Rx rate: 1077732.45614   TxExt rate: 1077732.45614   TxInt rate: 1077732.45614
Rx rate: 1077503.51759   TxExt rate: 1077503.51759   TxInt rate: 1077503.51759
Rx rate: 1078823.79518   TxExt rate: 1078823.79518   TxInt rate: 1078823.79518
Rx rate: 1079803.71486   TxExt rate: 1079803.71486   TxInt rate: 1079803.71486
