,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,1024,nat,uk,0,856065.73913
1,3,1,rx,vpp,1024,nat,uk,0,856785.496183
2,3,1,rx,vpp,1024,nat,uk,0,856060.469314
3,3,1,rx,vpp,1024,nat,uk,0,856002.441009
4,3,1,rx,vpp,1024,nat,uk,0,856485.076971
5,3,1,rx,vpp,1024,nat,uk,0,856453.835709
6,3,1,rx,vpp,1024,nat,uk,0,855271.611002
7,3,1,rx,vpp,1024,nat,uk,0,855078.983994
8,3,1,rx,vpp,1024,nat,uk,0,856102.816423
9,3,1,rx,vpp,1024,nat,uk,0,856334.691107
10,3,1,rx,vpp,1024,nat,uk,0,855820.173204
11,3,1,rx,vpp,1024,nat,uk,0,854644.942295
12,3,1,rx,vpp,1024,nat,uk,0,853676.849966
13,3,1,rx,vpp,1024,nat,uk,0,855265.57712
14,3,1,rx,vpp,1024,nat,uk,0,850422.764228
15,3,1,rx,vpp,1024,nat,uk,0,853811.294766
16,3,1,rx,vpp,1024,nat,uk,0,853345.189976
17,3,1,rx,vpp,1024,nat,uk,0,852737.699355
18,3,1,rx,vpp,1024,nat,uk,0,853635.247914
19,3,1,rx,vpp,1024,nat,uk,0,854213.790447
20,3,1,rx,vpp,1024,nat,uk,0,854438.588656
21,3,1,rx,vpp,1024,nat,uk,0,854383.2315
