Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1761101588,Device: id=0,RX,1.2482204951621,2436.5283463146,2636.2436255405,1256137,306497916
1761101588,Device: id=0,TX,0,0,0,0,0
1761101589,Device: id=0,RX,1.2556762027503,2451.0780007718,2651.9861932119,2515040,613670004
1761101589,Device: id=0,TX,0,0,0,0,0
1761101590,Device: id=0,RX,1.2514925271735,2442.91535474,2643.1541590878,3773173,920654700
1761101590,Device: id=0,TX,0,0,0,0,0
1761101591,Device: id=0,RX,1.258781272667,2457.141044246,2658.5460478727,5039682,1229682896
1761101591,Device: id=0,TX,0,0,0,0,0
1761101592,Device: id=0,RX,1.2518515774015,2443.6103958969,2643.9066482811,6298242,1536771048
1761101592,Device: id=0,TX,0,0,0,0,0
1761101593,Device: id=0,RX,1.2572987988111,2454.251138545,2655.4189463548,7562254,1845190464
1761101593,Device: id=0,TX,0,0,0,0,0
1761101594,Device: id=0,RX,1.2578299823269,2455.2821849588,2656.5349821311,8827510,2153912684
1761101594,Device: id=0,TX,0,0,0,0,0
1761101595,Device: id=0,RX,1.2559430687286,2451.6008701582,2652.5517611547,10090108,2461986596
1761101595,Device: id=0,TX,0,0,0,0,0
1761101596,Device: id=0,RX,1.2450360650971,2430.3103990696,2629.5161694851,11343656,2767852308
1761101596,Device: id=0,TX,0,0,0,0,0
1761101597,Device: id=0,RX,1.2468102152864,2433.7735402391,2633.2631746849,12597073,3073686056
1761101597,Device: id=0,TX,0,0,0,0,0
1761101598,Device: id=0,RX,1.2478625884318,2435.8297143143,2635.4877284634,13851558,3379780640
1761101598,Device: id=0,TX,0,0,0,0,0
1761101599,Device: id=0,RX,1.2533699447598,2446.5761909708,2647.1153821324,15111901,3687304088
1761101599,Device: id=0,TX,0,0,0,0,0
1761101600,Device: id=0,RX,1.2509803196514,2441.9135839596,2642.0704351038,16369588,3994179716
1761101600,Device: id=0,TX,0,0,0,0,0
1761101601,Device: id=0,RX,1.2477857255349,2435.6796779423,2635.3253940278,17623994,4300255024
1761101601,Device: id=0,TX,0,0,0,0,0
1761101602,Device: id=0,RX,1.2469068496888,2433.9621705926,2633.4672665428,18878442,4606340336
1761101602,Device: id=0,TX,0,0,0,0,0
1761101603,Device: id=0,RX,1.2475474872853,2435.2107534557,2634.8183514214,20132591,4912352448
1761101603,Device: id=0,TX,0,0,0,0,0
1761101604,Device: id=0,RX,1.2508904895046,2441.7382355129,2641.8807138336,21390121,5219189768
1761101604,Device: id=0,TX,0,0,0,0,0
1761101605,Device: id=0,RX,1.2485196270991,2437.1103120975,2636.8734524334,22645266,5525445148
1761101605,Device: id=0,TX,0,0,0,0,0
1761101606,Device: id=0,RX,1.2467370922992,2433.630804168,2633.1087389358,23899071,5831373568
1761101606,Device: id=0,TX,0,0,0,0,0
1761101607,Device: id=0,RX,1.2484446223902,2436.9639029056,2636.7150424881,25154858,6137785596
1761101607,Device: id=0,TX,0,0,0,0,0
1761101608,Device: id=0,RX,1.2487428793442,2437.5461004799,2637.344961175,26410229,6444096120
1761101608,Device: id=0,TX,0,0,0,0,0
1761101609,Device: id=0,RX,1.2457577005249,2431.7190314246,2631.0402635086,27662530,6749657564
1761101609,Device: id=0,TX,0,0,0,0,0
1761101610,Device: id=0,RX,1.2447625434183,2429.7784264642,2628.9404334111,28913888,7054989160
1761101610,Device: id=0,TX,0,0,0,0,0
1761101611,Device: id=0,RX,1.251047599498,2442.0429738423,2642.210589762,30172429,7362072920
1761101611,Device: id=0,TX,0,0,0,0,0
1761101612,Device: id=0,RX,1.2371692990044,2414.9544716567,2612.9015594974,31416099,7665528400
1761101612,Device: id=0,TX,0,0,0,0,0
1761101613,Device: id=0,RX,1.2434622800196,2427.2383705983,2626.1923354014,32666093,7970526936
1761101613,Device: id=0,TX,0,0,0,0,0
1761101614,Device: id=0,RX,1.245569734404,2431.3501809693,2630.6413384739,33918988,8276233072
1761101614,Device: id=0,TX,0,0,0,0,0
1761101615,Device: id=0,RX,1.2479961183632,2436.0903648351,2635.7697437732,35173546,8582345468
1761101615,Device: id=0,TX,0,0,0,0,0
1761101616,Device: id=0,RX,1.2481656731254,2436.4193939407,2636.1259016408,36428258,8888495196
1761101616,Device: id=0,TX,0,0,0,0,0
1761101617,Device: id=0,RX,1.2474574350809,2435.036913278,2634.630102891,37683248,9194712756
1761101617,Device: id=0,TX,0,0,0,0,0
1761101618,Device: id=0,RX,1.2504036104825,2440.7878476618,2640.852425339,38940225,9501415144
1761101618,Device: id=0,TX,0,0,0,0,0
1761101619,Device: id=0,RX,1.2477740224872,2435.6529502028,2635.2967938008,40194623,9807488012
1761101619,Device: id=0,TX,0,0,0,0,0
1761101620,Device: id=0,RX,1.2466346072577,2433.430753367,2632.8922905282,41447858,10113277352
1761101620,Device: id=0,TX,0,0,0,0,0
1761101621,Device: id=0,RX,1.2429585976942,2426.2571239734,2625.1304996045,42697684,10418235140
1761101621,Device: id=0,TX,0,0,0,0,0
1761101622,Device: id=0,RX,1.2489204512793,2437.8927208971,2637.7199931018,43954209,10724827240
1761101622,Device: id=0,TX,0,0,0,0,0
1761101623,Device: id=0,RX,1.246249969586,2432.6799406318,2632.0799357656,45207060,11030522884
1761101623,Device: id=0,TX,0,0,0,0,0
1761101624,Device: id=0,RX,1.2518841060295,2443.6758331725,2643.9772901372,46465522,11337587368
1761101624,Device: id=0,TX,0,0,0,0,0
1761101625,Device: id=0,RX,1.2540665356598,2447.9398194063,2648.5904651118,47726177,11645187432
1761101625,Device: id=0,TX,0,0,0,0,0
