,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,256,filter,uk,0,1243742.7683715
1,3,1,tx,vpp,256,filter,uk,0,1247148.6821824
2,3,1,tx,vpp,256,filter,uk,0,1251448.6040572
3,3,1,tx,vpp,256,filter,uk,0,1247969.5817892
4,3,1,tx,vpp,256,filter,uk,0,1252082.4067704
5,3,1,tx,vpp,256,filter,uk,0,1250345.6956282998
6,3,1,tx,vpp,256,filter,uk,0,1252115.3686974999
7,3,1,tx,vpp,256,filter,uk,0,1252242.3743653
8,3,1,tx,vpp,256,filter,uk,0,1251888.3453165
9,3,1,tx,vpp,256,filter,uk,0,1253879.5435382
10,3,1,tx,vpp,256,filter,uk,0,1252239.358975
11,3,1,tx,vpp,256,filter,uk,0,1249142.1093191998
12,3,1,tx,vpp,256,filter,uk,0,1243442.1783133
13,3,1,tx,vpp,256,filter,uk,0,1244509.9455255
14,3,1,tx,vpp,256,filter,uk,0,1243177.6127269
15,3,1,tx,vpp,256,filter,uk,0,1243014.5635924
16,3,1,tx,vpp,256,filter,uk,0,1247447.9286709
17,3,1,tx,vpp,256,filter,uk,0,1243410.1639838999
18,3,1,tx,vpp,256,filter,uk,0,1247082.2457646
19,3,1,tx,vpp,256,filter,uk,0,1244233.1293975
20,3,1,tx,vpp,256,filter,uk,0,1246496.6993794
21,3,1,tx,vpp,256,filter,uk,0,1246977.7098659
22,3,1,tx,vpp,256,filter,uk,0,1246466.8117636
23,3,1,tx,vpp,256,filter,uk,0,1245668.8709310999
24,3,1,tx,vpp,256,filter,uk,0,1248732.7851077
25,3,1,tx,vpp,256,filter,uk,0,1248658.9680672998
26,3,1,tx,vpp,256,filter,uk,0,1249829.8563636
27,3,1,tx,vpp,256,filter,uk,0,1246650.6348110999
28,3,1,tx,vpp,256,filter,uk,0,1245177.6937378
29,3,1,tx,vpp,256,filter,uk,0,1246522.6670203998
30,3,1,tx,vpp,256,filter,uk,0,1244979.7662575
31,3,1,tx,vpp,256,filter,uk,0,1250558.3273014
32,3,1,tx,vpp,256,filter,uk,0,1246960.0490996998
33,3,1,tx,vpp,256,filter,uk,0,1242053.8558272
34,3,1,tx,vpp,256,filter,uk,0,1242977.471345
35,3,1,tx,vpp,256,filter,uk,0,1249078.0277145
36,3,1,tx,vpp,256,filter,uk,0,1243020.4572987999
37,3,1,tx,vpp,256,filter,uk,0,1244290.4148859999
38,3,1,tx,vpp,256,filter,uk,0,1248291.3616219
39,3,1,tx,vpp,256,filter,uk,0,1246481.4518364999
40,3,1,tx,vpp,256,filter,uk,0,1249446.4180257
41,3,1,tx,vpp,256,filter,uk,0,1250083.4219323
42,3,1,tx,vpp,256,filter,uk,0,1250253.3548573
43,3,1,tx,vpp,256,filter,uk,0,1249219.0902585
44,3,1,tx,vpp,256,filter,uk,0,1250474.8323368
45,3,1,tx,vpp,256,filter,uk,0,1252622.3924655998
46,3,1,tx,vpp,256,filter,uk,0,1247094.7196898
47,3,1,tx,vpp,256,filter,uk,0,1250114.0143273
48,3,1,tx,vpp,256,filter,uk,0,1247819.1709421
49,3,1,tx,vpp,256,filter,uk,0,1245063.5644473
50,3,1,tx,vpp,256,filter,uk,0,1248790.5291932
51,3,1,tx,vpp,256,filter,uk,0,1251955.3535887
52,3,1,tx,vpp,256,filter,uk,0,1248950.4828923
53,3,1,tx,vpp,256,filter,uk,0,1248807.921662
54,3,1,tx,vpp,256,filter,uk,0,1250473.4638655
55,3,1,tx,vpp,256,filter,uk,0,1251621.8620386
56,3,1,tx,vpp,256,filter,uk,0,1247997.4389167
57,3,1,tx,vpp,256,filter,uk,0,1244210.1354101
58,3,1,tx,vpp,256,filter,uk,0,1246180.2219857
59,3,1,tx,vpp,256,filter,uk,0,1248681.6823827
60,3,1,tx,vpp,256,filter,uk,0,1246157.2658801
61,3,1,tx,vpp,256,filter,uk,0,1246642.7478558999
62,3,1,tx,vpp,256,filter,uk,0,1245300.7588038
63,3,1,tx,vpp,256,filter,uk,0,1245624.7307143
64,3,1,tx,vpp,256,filter,uk,0,1248953.1523907
65,3,1,tx,vpp,256,filter,uk,0,1244175.1737432
66,3,1,tx,vpp,256,filter,uk,0,1246112.2074912002
67,3,1,tx,vpp,256,filter,uk,0,1252100.334748
68,3,1,tx,vpp,256,filter,uk,0,1250271.9449137
69,3,1,tx,vpp,256,filter,uk,0,1249386.3936871
