Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1761102498,Device: id=0,RX,1.2437427683715,2427.7858838612,2626.7847268007,1250590,305143960
1761102498,Device: id=0,TX,0,0,0,0,0
1761102499,Device: id=0,RX,1.2471486821824,2434.4361743264,2633.9799634756,2501130,610275964
1761102499,Device: id=0,TX,0,0,0,0,0
1761102500,Device: id=0,RX,1.2514486040572,2442.8276751196,2643.0594517687,3759216,917248948
1761102500,Device: id=0,TX,0,0,0,0,0
1761102501,Device: id=0,RX,1.2479695817892,2436.0346819515,2635.7098150378,5013805,1223368420
1761102501,Device: id=0,TX,0,0,0,0,0
1761102502,Device: id=0,RX,1.2520824067704,2444.0687413548,2644.4019264381,6272549,1530502444
1761102502,Device: id=0,TX,0,0,0,0,0
1761102503,Device: id=0,RX,1.2503456956283,2440.6903235777,2640.7456348782,7530166,1837362944
1761102503,Device: id=0,TX,0,0,0,0,0
1761102504,Device: id=0,RX,1.2521153686975,2444.1097838178,2644.4482428094,8788996,2144515024
1761102504,Device: id=0,TX,0,0,0,0,0
1761102505,Device: id=0,RX,1.2522423743653,2444.3771147611,2644.7358946595,10048135,2451744940
1761102505,Device: id=0,TX,0,0,0,0,0
1761102506,Device: id=0,RX,1.2518883453165,2443.6860500579,2643.9881853086,11307652,2759067088
1761102506,Device: id=0,TX,0,0,0,0,0
1761102507,Device: id=0,RX,1.2538795435382,2447.5728689866,2648.1935959527,12568184,3066636896
1761102507,Device: id=0,TX,0,0,0,0,0
1761102508,Device: id=0,RX,1.252239358975,2444.3867615174,2644.7450589534,13827131,3373821916
1761102508,Device: id=0,TX,0,0,0,0,0
1761102509,Device: id=0,RX,1.2491421093192,2438.3098662108,2638.1726037019,15083095,3680275180
1761102509,Device: id=0,TX,0,0,0,0,0
1761102510,Device: id=0,RX,1.2434421783133,2427.1971912818,2626.1479398119,16333722,3985427924
1761102510,Device: id=0,TX,0,0,0,0,0
1761102511,Device: id=0,RX,1.2445099455255,2429.2853553558,2628.4069466399,17584840,4290700960
1761102511,Device: id=0,TX,0,0,0,0,0
1761102512,Device: id=0,RX,1.2431776127269,2426.6807594559,2625.5891774922,18835329,4595820032
1761102512,Device: id=0,TX,0,0,0,0,0
1761102513,Device: id=0,RX,1.2430145635924,2426.3644281324,2625.2467583072,20084867,4900707304
1761102513,Device: id=0,TX,0,0,0,0,0
1761102514,Device: id=0,RX,1.2474479286709,2435.0183567655,2634.6100253529,21338866,5206683060
1761102514,Device: id=0,TX,0,0,0,0,0
1761102515,Device: id=0,RX,1.2434101639839,2427.1366400966,2626.082266334,22588871,5511684280
1761102515,Device: id=0,TX,0,0,0,0,0
1761102516,Device: id=0,RX,1.2470822457646,2434.3045437326,2633.8377030549,23843293,5817763248
1761102516,Device: id=0,TX,0,0,0,0,0
1761102517,Device: id=0,RX,1.2442331293975,2428.7411268803,2627.8184275839,25094124,6122965768
1761102517,Device: id=0,TX,0,0,0,0,0
1761102518,Device: id=0,RX,1.2464966993794,2433.163498385,2632.6029702857,26347558,6428803908
1761102518,Device: id=0,TX,0,0,0,0,0
1761102519,Device: id=0,RX,1.2469777098659,2434.1024302397,2633.6188638182,27601873,6734857012
1761102519,Device: id=0,TX,0,0,0,0,0
