Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1761097944,Device: id=0,RX,1.0500036677605,537.60187789337,705.60246473505,1058082,67717248
1761097944,Device: id=0,TX,0,0,0,0,0
1761097945,Device: id=0,RX,1.048559400797,536.86190248256,704.63140661008,2109258,134992448
1761097945,Device: id=0,TX,0,0,0,0,0
1761097946,Device: id=0,RX,1.052874406649,539.07169620427,707.53160126811,3168166,202762560
1761097946,Device: id=0,TX,0,0,0,0,0
1761097947,Device: id=0,RX,1.0482878988331,536.7239132684,704.44997708169,4222496,270239744
1761097947,Device: id=0,TX,0,0,0,0,0
1761097948,Device: id=0,RX,1.0545311127853,539.91942047701,708.64439852266,5282682,338091584
1761097948,Device: id=0,TX,0,0,0,0,0
1761097949,Device: id=0,RX,1.0541754124231,539.73933796285,708.40740395056,6343208,405965440
1761097949,Device: id=0,TX,0,0,0,0,0
1761097950,Device: id=0,RX,1.0494316950828,537.30800934598,705.21708055924,7398269,473489216
1761097950,Device: id=0,TX,0,0,0,0,0
1761097951,Device: id=0,RX,1.0479465197226,536.54810885688,704.21955201249,8451893,540921088
1761097951,Device: id=0,TX,0,0,0,0,0
1761097952,Device: id=0,RX,1.0539633176802,539.63176263071,708.26589345954,9512494,608799872
1761097952,Device: id=0,TX,0,0,0,0,0
1761097953,Device: id=0,RX,1.0555438113701,540.4358849199,709.32289473912,10573633,676712448
1761097953,Device: id=0,TX,0,0,0,0,0
1761097954,Device: id=0,RX,1.0485995819381,536.88349525069,704.65942836079,11627795,744178880
1761097954,Device: id=0,TX,0,0,0,0,0
1761097955,Device: id=0,RX,1.0496640742968,537.42902426437,705.37527615186,12683413,811738560
1761097955,Device: id=0,TX,0,0,0,0,0
1761097956,Device: id=0,RX,1.0551091979874,540.21438147569,709.03185315368,13744120,879623616
1761097956,Device: id=0,TX,0,0,0,0,0
1761097957,Device: id=0,RX,1.0494756068271,537.33507596878,705.25117306111,14799108,947143296
1761097957,Device: id=0,TX,0,0,0,0,0
1761097958,Device: id=0,RX,1.0553245644352,540.32312406772,709.17505437736,15861027,1015105728
1761097958,Device: id=0,TX,0,0,0,0,0
1761097959,Device: id=0,RX,1.0503723424679,537.79063934357,705.85021413844,16916971,1082686144
1761097959,Device: id=0,TX,0,0,0,0,0
1761097960,Device: id=0,RX,1.0475852794753,536.36366309134,703.97730780738,17970114,1150087296
1761097960,Device: id=0,TX,0,0,0,0,0
1761097961,Device: id=0,RX,1.049160957543,537.17346573748,705.03921894436,19024949,1217597120
1761097961,Device: id=0,TX,0,0,0,0,0
1761097962,Device: id=0,RX,1.0558107676487,540.57155000052,709.50127282432,20086972,1285566144
1761097962,Device: id=0,TX,0,0,0,0,0
1761097963,Device: id=0,RX,1.051550168088,538.39368606103,706.64171295511,21144099,1353222272
1761097963,Device: id=0,TX,0,0,0,0,0
1761097964,Device: id=0,RX,1.0495809810832,537.3854623146,705.31841928791,22199248,1420751808
1761097964,Device: id=0,TX,0,0,0,0,0
1761097965,Device: id=0,RX,1.04658418885,535.85110469118,703.30457490718,23251387,1488088704
1761097965,Device: id=0,TX,0,0,0,0,0
1761097966,Device: id=0,RX,1.0516808618448,538.46060126455,706.72953915972,24309639,1555816832
1761097966,Device: id=0,TX,0,0,0,0,0
1761097967,Device: id=0,RX,1.0489127293437,537.04331742397,704.86935411896,25364116,1623303360
1761097967,Device: id=0,TX,0,0,0,0,0
1761097968,Device: id=0,RX,1.0493226302345,537.25318668008,705.1448075176,26419009,1690816512
1761097968,Device: id=0,TX,0,0,0,0,0
1761097969,Device: id=0,RX,1.0493087466816,537.246078301,705.13547777006,27474761,1758384640
1761097969,Device: id=0,TX,0,0,0,0,0
1761097970,Device: id=0,RX,1.0491068519831,537.14270821534,704.99980453263,28529433,1825883648
1761097970,Device: id=0,TX,0,0,0,0,0
1761097971,Device: id=0,RX,1.0517312928173,538.48591280982,706.76291966059,29587129,1893576128
1761097971,Device: id=0,TX,0,0,0,0,0
1761097972,Device: id=0,RX,1.0514925121048,538.36467544218,706.60347737895,30644311,1961235840
1761097972,Device: id=0,TX,0,0,0,0,0
1761097973,Device: id=0,RX,1.052220302197,538.73679472486,707.09204307637,31702998,2028991808
1761097973,Device: id=0,TX,0,0,0,0,0
1761097974,Device: id=0,RX,1.0513754438086,538.30422723,706.52429823938,32759896,2096633280
1761097974,Device: id=0,TX,0,0,0,0,0
1761097975,Device: id=0,RX,1.0503899930948,537.79967646453,705.86207535969,33815800,2164211136
1761097975,Device: id=0,TX,0,0,0,0,0
1761097976,Device: id=0,RX,1.0517600309961,538.50113586999,706.78274082936,34873084,2231877312
1761097976,Device: id=0,TX,0,0,0,0,0
1761097977,Device: id=0,RX,1.0431389047473,534.08711923062,700.98934399019,35921704,2298988992
1761097977,Device: id=0,TX,0,0,0,0,0
1761097978,Device: id=0,RX,1.0464760182656,535.7952120545,703.231374977,36973733,2366318784
1761097978,Device: id=0,TX,0,0,0,0,0
1761097979,Device: id=0,RX,1.0508453997075,538.03335397836,706.16861793155,38030091,2433925760
1761097979,Device: id=0,TX,0,0,0,0,0
1761097980,Device: id=0,RX,1.0496853015647,537.43887440113,705.38852265148,39086063,2501507968
1761097980,Device: id=0,TX,0,0,0,0,0
1761097981,Device: id=0,RX,1.0529945039275,539.13318601087,707.61230663926,40144643,2569257088
1761097981,Device: id=0,TX,0,0,0,0,0
1761097982,Device: id=0,RX,1.0492977255606,537.24043548705,705.12807157675,41199451,2636764800
1761097982,Device: id=0,TX,0,0,0,0,0
1761097983,Device: id=0,RX,1.0523938000697,538.82562563569,707.20863364684,42257427,2704475264
1761097983,Device: id=0,TX,0,0,0,0,0
1761097984,Device: id=0,RX,1.0512435035998,538.23667384311,706.43563441908,43314191,2772108160
1761097984,Device: id=0,TX,0,0,0,0,0
1761097985,Device: id=0,RX,1.0534218599532,539.35199229602,707.89948988852,44374198,2839948608
1761097985,Device: id=0,TX,0,0,0,0,0
1761097986,Device: id=0,RX,1.0537264401765,539.50793737036,708.10416779859,45433459,2907741312
1761097986,Device: id=0,TX,0,0,0,0,0
1761097987,Device: id=0,RX,1.046360646149,535.73665082829,703.15435421213,46485313,2975059968
1761097987,Device: id=0,TX,0,0,0,0,0
1761097988,Device: id=0,RX,1.0521630129758,538.7074626436,707.05354471973,47543003,3042752128
1761097988,Device: id=0,TX,0,0,0,0,0
1761097989,Device: id=0,RX,1.0530812061681,539.17757755805,707.67057054494,48601614,3110503232
1761097989,Device: id=0,TX,0,0,0,0,0
1761097990,Device: id=0,RX,1.0543782060876,539.84164151684,708.54215449085,49662195,3178380416
1761097990,Device: id=0,TX,0,0,0,0,0
1761097991,Device: id=0,RX,1.0526443121394,538.95388781539,707.3769777577,50720368,3246103488
1761097991,Device: id=0,TX,0,0,0,0,0
1761097992,Device: id=0,RX,1.0531274064723,539.20072278858,707.70110782415,51779026,3313857536
1761097992,Device: id=0,TX,0,0,0,0,0
1761097993,Device: id=0,RX,1.0499288054441,537.56405765981,705.55266653086,52834578,3381412928
1761097993,Device: id=0,TX,0,0,0,0,0
1761097994,Device: id=0,RX,1.0502748711253,537.74073401616,705.78471339622,53890866,3449015360
1761097994,Device: id=0,TX,0,0,0,0,0
1761097995,Device: id=0,RX,1.0534556317501,539.36928345605,707.92218453606,54949854,3516790592
1761097995,Device: id=0,TX,0,0,0,0,0
1761097996,Device: id=0,RX,1.0514304849073,538.33240827253,706.56128585769,56006808,3584435648
1761097996,Device: id=0,TX,0,0,0,0,0
1761097997,Device: id=0,RX,1.0497490957118,537.47153700445,705.43139231834,57062676,3652011200
1761097997,Device: id=0,TX,0,0,0,0,0
1761097998,Device: id=0,RX,1.0511982127774,538.21348494202,706.40519898641,58119395,3719641216
1761097998,Device: id=0,TX,0,0,0,0,0
1761097999,Device: id=0,RX,1.0516187669824,538.42880869497,706.68781141215,59176535,3787298176
1761097999,Device: id=0,TX,0,0,0,0,0
1761098000,Device: id=0,RX,1.0541280181541,539.71303596974,708.37351887439,60236199,3855116608
1761098000,Device: id=0,TX,0,0,0,0,0
