,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,64,ids,uk,1,1069134.4195798
1,3,1,tx,vpp,64,ids,uk,1,1066083.6034755
2,3,1,tx,vpp,64,ids,uk,1,1063546.483856
3,3,1,tx,vpp,64,ids,uk,1,1062299.6413063
4,3,1,tx,vpp,64,ids,uk,1,1067226.0390277
5,3,1,tx,vpp,64,ids,uk,1,1068636.2592314999
6,3,1,tx,vpp,64,ids,uk,1,1067844.6679696
7,3,1,tx,vpp,64,ids,uk,1,1067264.2636334
8,3,1,tx,vpp,64,ids,uk,1,1062927.1474066
9,3,1,tx,vpp,64,ids,uk,1,1066915.0145564
10,3,1,tx,vpp,64,ids,uk,1,1067853.817081
11,3,1,tx,vpp,64,ids,uk,1,1065015.5054207
12,3,1,tx,vpp,64,ids,uk,1,1058083.6904376
13,3,1,tx,vpp,64,ids,uk,1,1059800.3192459
14,3,1,tx,vpp,64,ids,uk,1,1068394.6935687
15,3,1,tx,vpp,64,ids,uk,1,1065656.5270461
16,3,1,tx,vpp,64,ids,uk,1,1063502.5446205
17,3,1,tx,vpp,64,ids,uk,1,1066549.9525204
18,3,1,tx,vpp,64,ids,uk,1,1069031.9511575
19,3,1,tx,vpp,64,ids,uk,1,1066573.2434295001
20,3,1,tx,vpp,64,ids,uk,1,1065367.9316085
21,3,1,tx,vpp,64,ids,uk,1,1061497.1931523
22,3,1,tx,vpp,64,ids,uk,1,1060613.747532
23,3,1,tx,vpp,64,ids,uk,1,1061679.2405847
24,3,1,tx,vpp,64,ids,uk,1,1068519.1485494
25,3,1,tx,vpp,64,ids,uk,1,1064957.1248669
26,3,1,tx,vpp,64,ids,uk,1,1062400.3845431001
27,3,1,tx,vpp,64,ids,uk,1,1068420.1452774
28,3,1,tx,vpp,64,ids,uk,1,1066963.9355596
29,3,1,tx,vpp,64,ids,uk,1,1067164.3933084002
30,3,1,tx,vpp,64,ids,uk,1,1066762.6146174
31,3,1,tx,vpp,64,ids,uk,1,1063177.0304583
32,3,1,tx,vpp,64,ids,uk,1,1064646.0190974001
33,3,1,tx,vpp,64,ids,uk,1,1066737.310072
34,3,1,tx,vpp,64,ids,uk,1,1064051.778494
35,3,1,tx,vpp,64,ids,uk,1,1063236.9290995002
36,3,1,tx,vpp,64,ids,uk,1,1063190.7852453
37,3,1,tx,vpp,64,ids,uk,1,1061786.6898875
38,3,1,tx,vpp,64,ids,uk,1,1066301.653704
39,3,1,tx,vpp,64,ids,uk,1,1064593.9363136
40,3,1,tx,vpp,64,ids,uk,1,1065827.1148213001
41,3,1,tx,vpp,64,ids,uk,1,1068242.196927
42,3,1,tx,vpp,64,ids,uk,1,1061140.6758875
43,3,1,tx,vpp,64,ids,uk,1,1061019.8749022
44,3,1,tx,vpp,64,ids,uk,1,1063021.0765573
45,3,1,tx,vpp,64,ids,uk,1,1066255.3170979
46,3,1,tx,vpp,64,ids,uk,1,1064573.3959726
47,3,1,tx,vpp,64,ids,uk,1,1067164.5669558002
48,3,1,tx,vpp,64,ids,uk,1,1061546.6814445
49,3,1,tx,vpp,64,ids,uk,1,1062569.9139403
50,3,1,tx,vpp,64,ids,uk,1,1061264.1067903
51,3,1,tx,vpp,64,ids,uk,1,1067535.6826316
52,3,1,tx,vpp,64,ids,uk,1,1062763.5424408
53,3,1,tx,vpp,64,ids,uk,1,1056082.6002098
54,3,1,tx,vpp,64,ids,uk,1,1066895.7865145
55,3,1,tx,vpp,64,ids,uk,1,1063435.4909396998
56,3,1,tx,vpp,64,ids,uk,1,1060982.3492545001
57,3,1,tx,vpp,64,ids,uk,1,1066995.7121852
58,3,1,tx,vpp,64,ids,uk,1,1067418.5892337998
59,3,1,tx,vpp,64,ids,uk,1,1065713.1801341
60,3,1,tx,vpp,64,ids,uk,1,1063087.2027143
61,3,1,tx,vpp,64,ids,uk,1,1067062.7954226
62,3,1,tx,vpp,64,ids,uk,1,1063768.218785
63,3,1,tx,vpp,64,ids,uk,1,1058494.6457966
64,3,1,tx,vpp,64,ids,uk,1,1062699.3231629
65,3,1,tx,vpp,64,ids,uk,1,1065485.8833895999
66,3,1,tx,vpp,64,ids,uk,1,1065764.2152697
67,3,1,tx,vpp,64,ids,uk,1,1066154.1686714
68,3,1,tx,vpp,64,ids,uk,1,1069696.8805319
69,3,1,tx,vpp,64,ids,uk,1,1068703.6926124
