,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2399678.35366
1,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2408123.23944
2,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2414165.74586
3,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2399829.23154
4,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2400884.24197
5,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2390553.15871
6,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2377030.50641
7,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2376248.55156
8,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2374412.76171
9,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2382002.97796
10,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2391336.55395
11,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2396020.63412
12,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2385892.40506
13,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2368772.01812
14,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2391894.38202
15,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2359311.77547
16,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2370115.60694
17,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2362163.23456
18,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2368008.96593
19,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2365107.161
20,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2349480.69106
21,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2339022.84451
22,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2338751.16009
23,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2351596.73168
24,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2358321.22905
25,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2330980.89492
26,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2335796.08237
27,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2337638.65031
28,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2331220.34919
29,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2323770.91988
30,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2331151.68257
31,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2326074.7614
32,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2329711.81818
33,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2323005.51809
34,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2331765.78947
35,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2338243.09392
36,3,1,rx,vpp,256,empty,ukebpfjit_nompk,1,2328970.89814
