,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,818319.0
1,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819961.0
2,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819157.842158
3,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819996.0
4,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,820025.0
5,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,821247.474747
6,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819225.774226
7,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819953.0
8,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819115.0
9,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,818659.340659
10,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,820029.0
11,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,820021.0
12,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,820029.0
13,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,820018.0
14,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,820044.0
15,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,817523.476523
16,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,820009.0
17,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819990.0
18,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819102.0
19,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819481.0
20,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819993.0
21,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819989.0
22,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819971.0
23,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,820005.0
24,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819990.0
25,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,820019.0
26,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,817607.392607
27,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819122.0
28,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819157.0
29,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819462.0
30,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,820012.0
31,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819961.0
32,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819147.852148
33,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819985.0
34,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819986.0
35,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819166.833167
36,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,818381.0
37,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,820024.0
38,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,818265.734266
39,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819506.0
40,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,820044.0
41,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819990.0
42,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,820007.0
43,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,820029.0
44,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819217.782218
45,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819133.0
46,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,818341.0
47,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819190.809191
48,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819183.0
49,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819482.0
50,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819185.814186
51,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,799051.724138
52,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,820028.0
53,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819958.0
54,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,820002.0
55,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,820012.0
56,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,818136.0
57,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,820004.0
58,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819122.0
59,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819543.0
60,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,820009.0
61,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819984.0
62,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,820006.0
63,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819978.0
64,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,819170.829171
65,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,820005.0
66,3,1,rx,vpp,1508,filter,ukebpfjit_nompk,0,818258.0
