,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,740972.117202
1,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,742052.85638
2,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,739749.688667
3,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,742069.2354
4,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,741478.787879
5,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,741744.104365
6,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,740682.41206
7,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,742489.032258
8,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,742116.12515
9,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,742900.75188
10,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,742660.150376
11,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,741606.643357
12,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,742209.411765
13,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,742695.16935
14,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,742008.541393
15,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,743317.269076
16,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,742393.376819
17,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,742776.88172
18,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,740772.727273
19,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,742172.131148
20,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,741216.26506
21,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,742397.994987
22,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,743409.022556
23,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,742804.398148
24,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,741425.969913
25,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,742581.898945
26,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,742449.704142
27,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,742781.954887
28,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,742435.370741
29,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,741588.471178
30,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,741273.092369
31,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,742230.769231
32,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,742548.406494
33,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,742607.902736
34,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,742661.646586
35,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,742510.933333
36,3,1,rx,vpp,256,ids,ukebpfjit_nompk,1,741888.888889
