Rx rate: 1045806.2249   TxExt rate: 1045806.2249   TxInt rate: 1045806.2249
Rx rate: 1044060.1173   TxExt rate: 1044060.1173   TxInt rate: 1044060.1173
Rx rate: 1052960.72508   TxExt rate: 1052960.72508   TxInt rate: 1052960.72508
Rx rate: 1049292.95154   TxExt rate: 1049292.95154   TxInt rate: 1049292.95154
Rx rate: 1050073.50216   TxExt rate: 1050073.50216   TxInt rate: 1050073.50216
Rx rate: 1048108.74357   TxExt rate: 1048108.74357   TxInt rate: 1048108.74357
Rx rate: 1054979.90959   TxExt rate: 1054979.90959   TxInt rate: 1054979.90959
Rx rate: 1048459.15325   TxExt rate: 1048459.15325   TxInt rate: 1048459.15325
Rx rate: 1052670.11375   TxExt rate: 1052670.11375   TxInt rate: 1052670.11375
Rx rate: 1050029.20443   TxExt rate: 1050029.20443   TxInt rate: 1050029.20443
Rx rate: 1050713.67749   TxExt rate: 1050713.67749   TxInt rate: 1050713.67749
Rx rate: 1048613.7806   TxExt rate: 1048613.7806   TxInt rate: 1048613.7806
Rx rate: 1050160.64257   TxExt rate: 1050160.64257   TxInt rate: 1050160.64257
Rx rate: 1052646.90554   TxExt rate: 1052646.90554   TxInt rate: 1052646.90554
Rx rate: 1043113.15209   TxExt rate: 1043113.15209   TxInt rate: 1043113.15209
Rx rate: 1049116.0221   TxExt rate: 1049116.0221   TxInt rate: 1049116.0221
Rx rate: 1045428.64322   TxExt rate: 1045428.64322   TxInt rate: 1045428.64322
Rx rate: 1051026.52684   TxExt rate: 1051026.52684   TxInt rate: 1051026.52684
Rx rate: 1049629.7654   TxExt rate: 1049629.7654   TxInt rate: 1049629.7654
Rx rate: 1054199.04648   TxExt rate: 1054199.04648   TxInt rate: 1054199.04648
Rx rate: 1046867.53446   TxExt rate: 1046867.53446   TxInt rate: 1046867.53446
Rx rate: 1055627.7666   TxExt rate: 1055627.7666   TxInt rate: 1055627.7666
Rx rate: 1053149.88979   TxExt rate: 1053149.88979   TxInt rate: 1053149.88979
Rx rate: 1056804.23814   TxExt rate: 1056804.23814   TxInt rate: 1056804.23814
Rx rate: 1047527.666   TxExt rate: 1047527.666   TxInt rate: 1047527.666
Rx rate: 1047696.63486   TxExt rate: 1047696.63486   TxInt rate: 1047696.63486
Rx rate: 1046750.50302   TxExt rate: 1046750.50302   TxInt rate: 1046750.50302
Rx rate: 1047507.25389   TxExt rate: 1047507.25389   TxInt rate: 1047507.25389
Rx rate: 1044331.3783   TxExt rate: 1044331.3783   TxInt rate: 1044331.3783
Rx rate: 1050188.44221   TxExt rate: 1050188.44221   TxInt rate: 1050188.44221
Rx rate: 1051771.58635   TxExt rate: 1051771.58635   TxInt rate: 1051771.58635
Rx rate: 1050350.17836   TxExt rate: 1050350.17836   TxInt rate: 1050350.17836
Rx rate: 1049286.23188   TxExt rate: 1049286.23188   TxInt rate: 1049286.23188
Rx rate: 1049612.4498   TxExt rate: 1049612.4498   TxInt rate: 1049612.4498
Rx rate: 1047123.556   TxExt rate: 1047123.556   TxInt rate: 1047123.556
Rx rate: 1048509.90462   TxExt rate: 1048509.90462   TxInt rate: 1048509.90462
Rx rate: 1053283.66152   TxExt rate: 1053283.66152   TxInt rate: 1053283.66152
Rx rate: 1058485.98131   TxExt rate: 1058485.98131   TxInt rate: 1058485.98131
Rx rate: 1051649.49495   TxExt rate: 1051649.49495   TxInt rate: 1051649.49495
Rx rate: 1046075.37012   TxExt rate: 1046075.37012   TxInt rate: 1046075.37012
Rx rate: 1050921.64741   TxExt rate: 1050921.64741   TxInt rate: 1050921.64741
Rx rate: 1049757.02811   TxExt rate: 1049757.02811   TxInt rate: 1049757.02811
