,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,917162.079511
1,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,915783.231084
2,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,915933.625548
3,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,917054.425229
4,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,916647.23793
5,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,916524.732279
6,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,915298.165138
7,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,914737.816163
8,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,915315.361139
9,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,916795.720835
10,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,917722.080571
11,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,916546.770601
12,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,916645.315488
13,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,917189.399293
14,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,917275.076923
15,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,914997.005988
16,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,916796.220633
17,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,915606.724401
18,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,915258.375923
19,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,915693.682956
20,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,916456.912585
21,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,916485.931559
22,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,915901.285347
23,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,915310.397554
24,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,913100.0
25,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,915710.466005
26,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,918041.640771
27,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,918950.050968
28,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,919197.247706
29,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,918584.097859
30,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,914859.571788
31,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,916276.167948
32,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,917509.683996
33,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,917062.181448
34,3,1,rx,vpp,256,nat,ukebpfjit_nompk,0,917072.375127
