Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1761093804,Device: id=0,RX,0,0,0,0,0
1761093804,Device: id=0,TX,0,0,0,0,0
1761093805,Device: id=0,RX,0,0,0,0,0
1761093805,Device: id=0,TX,0,0,0,0,0
1761093806,Device: id=0,RX,0,0,0,0,0
1761093806,Device: id=0,TX,0,0,0,0,0
1761093807,Device: id=0,RX,0,0,0,0,0
1761093807,Device: id=0,TX,0,0,0,0,0
1761093808,Device: id=0,RX,0,0,0,0,0
1761093808,Device: id=0,TX,0,0,0,0,0
1761093809,Device: id=0,RX,0,0,0,0,0
1761093809,Device: id=0,TX,0,0,0,0,0
1761093810,Device: id=0,RX,0,0,0,0,0
1761093810,Device: id=0,TX,0,0,0,0,0
1761093811,Device: id=0,RX,0,0,0,0,0
1761093811,Device: id=0,TX,0,0,0,0,0
1761093812,Device: id=0,RX,0,0,0,0,0
1761093812,Device: id=0,TX,0,0,0,0,0
1761093813,Device: id=0,RX,0,0,0,0,0
1761093813,Device: id=0,TX,0,0,0,0,0
1761093814,Device: id=0,RX,0,0,0,0,0
1761093814,Device: id=0,TX,0,0,0,0,0
1761093815,Device: id=0,RX,0,0,0,0,0
1761093815,Device: id=0,TX,0,0,0,0,0
1761093816,Device: id=0,RX,0,0,0,0,0
1761093816,Device: id=0,TX,0,0,0,0,0
1761093817,Device: id=0,RX,0,0,0,0,0
1761093817,Device: id=0,TX,0,0,0,0,0
1761093818,Device: id=0,RX,0,0,0,0,0
1761093818,Device: id=0,TX,0,0,0,0,0
1761093819,Device: id=0,RX,0,0,0,0,0
1761093819,Device: id=0,TX,0,0,0,0,0
1761093820,Device: id=0,RX,0,0,0,0,0
1761093820,Device: id=0,TX,0,0,0,0,0
1761093821,Device: id=0,RX,0,0,0,0,0
1761093821,Device: id=0,TX,0,0,0,0,0
1761093822,Device: id=0,RX,0,0,0,0,0
1761093822,Device: id=0,TX,0,0,0,0,0
1761093823,Device: id=0,RX,0,0,0,0,0
1761093823,Device: id=0,TX,0,0,0,0,0
1761093824,Device: id=0,RX,0,0,0,0,0
1761093824,Device: id=0,TX,0,0,0,0,0
1761093825,Device: id=0,RX,0,0,0,0,0
1761093825,Device: id=0,TX,0,0,0,0,0
1761093826,Device: id=0,RX,0,0,0,0,0
1761093826,Device: id=0,TX,0,0,0,0,0
1761093827,Device: id=0,RX,0,0,0,0,0
1761093827,Device: id=0,TX,0,0,0,0,0
1761093828,Device: id=0,RX,0,0,0,0,0
1761093828,Device: id=0,TX,0,0,0,0,0
1761093829,Device: id=0,RX,0,0,0,0,0
1761093829,Device: id=0,TX,0,0,0,0,0
1761093830,Device: id=0,RX,0,0,0,0,0
1761093830,Device: id=0,TX,0,0,0,0,0
1761093831,Device: id=0,RX,0,0,0,0,0
1761093831,Device: id=0,TX,0,0,0,0,0
1761093832,Device: id=0,RX,0,0,0,0,0
1761093832,Device: id=0,TX,0,0,0,0,0
1761093833,Device: id=0,RX,0,0,0,0,0
1761093833,Device: id=0,TX,0,0,0,0,0
1761093834,Device: id=0,RX,0,0,0,0,0
1761093834,Device: id=0,TX,0,0,0,0,0
1761093835,Device: id=0,RX,0,0,0,0,0
1761093835,Device: id=0,TX,0,0,0,0,0
1761093836,Device: id=0,RX,0,0,0,0,0
1761093836,Device: id=0,TX,0,0,0,0,0
1761093837,Device: id=0,RX,0,0,0,0,0
1761093837,Device: id=0,TX,0,0,0,0,0
1761093838,Device: id=0,RX,0,0,0,0,0
1761093838,Device: id=0,TX,0,0,0,0,0
1761093839,Device: id=0,RX,0,0,0,0,0
1761093839,Device: id=0,TX,0,0,0,0,0
1761093840,Device: id=0,RX,0,0,0,0,0
1761093840,Device: id=0,TX,0,0,0,0,0
1761093841,Device: id=0,RX,0,0,0,0,0
1761093841,Device: id=0,TX,0,0,0,0,0
1761093842,Device: id=0,RX,0,0,0,0,0
1761093842,Device: id=0,TX,0,0,0,0,0
1761093843,Device: id=0,RX,0,0,0,0,0
1761093843,Device: id=0,TX,0,0,0,0,0
1761093844,Device: id=0,RX,0,0,0,0,0
1761093844,Device: id=0,TX,0,0,0,0,0
1761093845,Device: id=0,RX,0,0,0,0,0
1761093845,Device: id=0,TX,0,0,0,0,0
1761093846,Device: id=0,RX,0,0,0,0,0
1761093846,Device: id=0,TX,0,0,0,0,0
1761093847,Device: id=0,RX,0,0,0,0,0
1761093847,Device: id=0,TX,0,0,0,0,0
1761093848,Device: id=0,RX,0,0,0,0,0
1761093848,Device: id=0,TX,0,0,0,0,0
1761093849,Device: id=0,RX,0,0,0,0,0
1761093849,Device: id=0,TX,0,0,0,0,0
1761093850,Device: id=0,RX,0,0,0,0,0
1761093850,Device: id=0,TX,0,0,0,0,0
1761093851,Device: id=0,RX,0,0,0,0,0
1761093851,Device: id=0,TX,0,0,0,0,0
1761093852,Device: id=0,RX,0,0,0,0,0
1761093852,Device: id=0,TX,0,0,0,0,0
1761093853,Device: id=0,RX,0,0,0,0,0
1761093853,Device: id=0,TX,0,0,0,0,0
1761093854,Device: id=0,RX,0,0,0,0,0
1761093854,Device: id=0,TX,0,0,0,0,0
1761093855,Device: id=0,RX,0,0,0,0,0
1761093855,Device: id=0,TX,0,0,0,0,0
1761093856,Device: id=0,RX,0,0,0,0,0
1761093856,Device: id=0,TX,0,0,0,0,0
1761093857,Device: id=0,RX,0,0,0,0,0
1761093857,Device: id=0,TX,0,0,0,0,0
1761093858,Device: id=0,RX,0,0,0,0,0
1761093858,Device: id=0,TX,0,0,0,0,0
1761093859,Device: id=0,RX,0,0,0,0,0
1761093859,Device: id=0,TX,0,0,0,0,0
1761093860,Device: id=0,RX,0,0,0,0,0
1761093860,Device: id=0,TX,0,0,0,0,0
1761093861,Device: id=0,RX,0,0,0,0,0
1761093861,Device: id=0,TX,0,0,0,0,0
1761093862,Device: id=0,RX,0,0,0,0,0
1761093862,Device: id=0,TX,0,0,0,0,0
1761093863,Device: id=0,RX,0,0,0,0,0
1761093863,Device: id=0,TX,0,0,0,0,0
1761093864,Device: id=0,RX,0,0,0,0,0
1761093864,Device: id=0,TX,0,0,0,0,0
1761093865,Device: id=0,RX,0,0,0,0,0
1761093865,Device: id=0,TX,0,0,0,0,0
1761093866,Device: id=0,RX,0,0,0,0,0
1761093866,Device: id=0,TX,0,0,0,0,0
1761093867,Device: id=0,RX,0,0,0,0,0
1761093867,Device: id=0,TX,0,0,0,0,0
1761093868,Device: id=0,RX,0,0,0,0,0
1761093868,Device: id=0,TX,0,0,0,0,0
1761093869,Device: id=0,RX,0,0,0,0,0
1761093869,Device: id=0,TX,0,0,0,0,0
1761093870,Device: id=0,RX,0,0,0,0,0
1761093870,Device: id=0,TX,0,0,0,0,0
1761093871,Device: id=0,RX,0,0,0,0,0
1761093871,Device: id=0,TX,0,0,0,0,0
1761093872,Device: id=0,RX,0,0,0,0,0
1761093872,Device: id=0,TX,0,0,0,0,0
1761093873,Device: id=0,RX,0,0,0,0,0
1761093873,Device: id=0,TX,0,0,0,0,0
1761093874,Device: id=0,RX,0,0,0,0,0
1761093874,Device: id=0,TX,0,0,0,0,0
