,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,64,empty,ukebpfjit_nompk,0,1219672.5426346
1,3,1,tx,vpp,64,empty,ukebpfjit_nompk,0,1220452.790992
2,3,1,tx,vpp,64,empty,ukebpfjit_nompk,0,1219928.3118484
3,3,1,tx,vpp,64,empty,ukebpfjit_nompk,0,1217138.5027354
4,3,1,tx,vpp,64,empty,ukebpfjit_nompk,0,1220464.0906372
5,3,1,tx,vpp,64,empty,ukebpfjit_nompk,0,1219245.8921744002
6,3,1,tx,vpp,64,empty,ukebpfjit_nompk,0,1220003.5919472
7,3,1,tx,vpp,64,empty,ukebpfjit_nompk,0,1220315.4452003
8,3,1,tx,vpp,64,empty,ukebpfjit_nompk,0,1217345.1928676001
9,3,1,tx,vpp,64,empty,ukebpfjit_nompk,0,1216160.6623274
10,3,1,tx,vpp,64,empty,ukebpfjit_nompk,0,1219134.1077339
11,3,1,tx,vpp,64,empty,ukebpfjit_nompk,0,1218625.4454393
12,3,1,tx,vpp,64,empty,ukebpfjit_nompk,0,1218906.3371339
13,3,1,tx,vpp,64,empty,ukebpfjit_nompk,0,1216921.3517312
14,3,1,tx,vpp,64,empty,ukebpfjit_nompk,0,1218571.2258601
15,3,1,tx,vpp,64,empty,ukebpfjit_nompk,0,1218520.8847416001
16,3,1,tx,vpp,64,empty,ukebpfjit_nompk,0,1219084.8781569
17,3,1,tx,vpp,64,empty,ukebpfjit_nompk,0,1218233.4702816
18,3,1,tx,vpp,64,empty,ukebpfjit_nompk,0,1219387.0967339
19,3,1,tx,vpp,64,empty,ukebpfjit_nompk,0,1216932.9474127
20,3,1,tx,vpp,64,empty,ukebpfjit_nompk,0,1219999.8650175
21,3,1,tx,vpp,64,empty,ukebpfjit_nompk,0,1219070.5848235
22,3,1,tx,vpp,64,empty,ukebpfjit_nompk,0,1218903.321665
23,3,1,tx,vpp,64,empty,ukebpfjit_nompk,0,1217607.4859835
24,3,1,tx,vpp,64,empty,ukebpfjit_nompk,0,1219665.1796736
25,3,1,tx,vpp,64,empty,ukebpfjit_nompk,0,1219318.0548305002
26,3,1,tx,vpp,64,empty,ukebpfjit_nompk,0,1218319.6214336
27,3,1,tx,vpp,64,empty,ukebpfjit_nompk,0,1219916.3929574
28,3,1,tx,vpp,64,empty,ukebpfjit_nompk,0,1219916.1263772
29,3,1,tx,vpp,64,empty,ukebpfjit_nompk,0,1217092.6145378
30,3,1,tx,vpp,64,empty,ukebpfjit_nompk,0,1220956.3915501
31,3,1,tx,vpp,64,empty,ukebpfjit_nompk,0,1220837.8109758
