Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1761100181,Device: id=0,RX,1.2033278716557,616.10437912387,808.63683858879,1210850,77494464
1761100181,Device: id=0,TX,0,0,0,0,0
1761100182,Device: id=0,RX,1.2079223575103,618.45573784504,811.72331504668,2425414,155226496
1761100182,Device: id=0,TX,0,0,0,0,0
1761100183,Device: id=0,RX,1.2070754031028,618.02260638862,811.15467088506,3639070,232900480
1761100183,Device: id=0,TX,0,0,0,0,0
1761100184,Device: id=0,RX,1.2043868577403,616.64607116302,809.34796840146,4850412,310426368
1761100184,Device: id=0,TX,0,0,0,0,0
1761100185,Device: id=0,RX,1.2056089632582,617.2717891882,810.16922330951,6063673,388075072
1761100185,Device: id=0,TX,0,0,0,0,0
1761100186,Device: id=0,RX,1.2096793893628,619.35635655299,812.90505885104,7280006,465920448
1761100186,Device: id=0,TX,0,0,0,0,0
1761100187,Device: id=0,RX,1.2028882551729,615.87827739182,808.34039821949,8489374,543319936
1761100187,Device: id=0,TX,0,0,0,0,0
1761100188,Device: id=0,RX,1.2034452785724,616.16398262908,808.71522720066,9700258,620816512
1761100188,Device: id=0,TX,0,0,0,0,0
1761100189,Device: id=0,RX,1.2016486685658,615.2441183057,807.50790527623,10908285,698130240
1761100189,Device: id=0,TX,0,0,0,0,0
1761100190,Device: id=0,RX,1.2082360282954,618.61786497182,811.93562949908,12123064,775876224
1761100190,Device: id=0,TX,0,0,0,0,0
1761100191,Device: id=0,RX,1.2078405778443,618.41335720192,811.66784965702,13337243,853583552
1761100191,Device: id=0,TX,0,0,0,0,0
1761100192,Device: id=0,RX,1.2017195142844,615.28039131363,807.55551359913,14545595,930918080
1761100192,Device: id=0,TX,0,0,0,0,0
1761100193,Device: id=0,RX,1.2046792196737,616.79576047294,809.54443562074,15756975,1008446400
1761100193,Device: id=0,TX,0,0,0,0,0
1761100194,Device: id=0,RX,1.2066138793838,617.78579713773,810.84401783914,16970446,1086108480
1761100194,Device: id=0,TX,0,0,0,0,0
1761100195,Device: id=0,RX,1.2056037542023,617.26912215156,810.16572282393,18183073,1163716608
1761100195,Device: id=0,TX,0,0,0,0,0
1761100196,Device: id=0,RX,1.207806598769,618.39748787335,811.64654367639,19397274,1241425536
1761100196,Device: id=0,TX,0,0,0,0,0
1761100197,Device: id=0,RX,1.208879605101,618.94635781169,812.36709462784,20612639,1319208896
1761100197,Device: id=0,TX,0,0,0,0,0
1761100198,Device: id=0,RX,1.2052126801376,617.06889223045,809.90292105246,21824742,1396783488
1761100198,Device: id=0,TX,0,0,0,0,0
1761100199,Device: id=0,RX,1.2072624787324,618.118389111,811.28038570819,23039685,1474539840
1761100199,Device: id=0,TX,0,0,0,0,0
1761100200,Device: id=0,RX,1.2066797353973,617.82002452341,810.88878218697,24252884,1552184576
1761100200,Device: id=0,TX,0,0,0,0,0
1761100201,Device: id=0,RX,1.2068452764563,617.90427224847,810.99951648147,25466134,1629832512
1761100201,Device: id=0,TX,0,0,0,0,0
1761100202,Device: id=0,RX,1.2041225720748,616.51075690229,809.17036843426,26676651,1707305600
1761100202,Device: id=0,TX,0,0,0,0,0
1761100203,Device: id=0,RX,1.2061829911369,617.56569146207,810.55497004397,27889669,1784938752
1761100203,Device: id=0,TX,0,0,0,0,0
1761100204,Device: id=0,RX,1.2014536384565,615.14528147623,807.37786362926,29097508,1862240576
1761100204,Device: id=0,TX,0,0,0,0,0
1761100205,Device: id=0,RX,1.2015894450241,615.21328687147,807.46759807532,30306225,1939598400
1761100205,Device: id=0,TX,0,0,0,0,0
1761100206,Device: id=0,RX,1.2008844843919,614.85285600865,806.99437351135,31513492,2016863488
1761100206,Device: id=0,TX,0,0,0,0,0
1761100207,Device: id=0,RX,1.2034851741215,616.18491805956,808.742545919,32724286,2094354368
1761100207,Device: id=0,TX,0,0,0,0,0
1761100208,Device: id=0,RX,1.2025305104479,615.69511205368,808.09999372534,33933202,2171724928
1761100208,Device: id=0,TX,0,0,0,0,0
1761100209,Device: id=0,RX,1.2025249127846,615.69326461328,808.09725065882,35142179,2249099520
1761100209,Device: id=0,TX,0,0,0,0,0
1761100210,Device: id=0,RX,1.2082594311396,618.62832052929,811.94982951163,36359439,2327004096
1761100210,Device: id=0,TX,0,0,0,0,0
1761100211,Device: id=0,RX,1.2111510789888,620.10935244229,813.8935250805,37577023,2404929472
1761100211,Device: id=0,TX,0,0,0,0,0
1761100212,Device: id=0,RX,1.2090837211291,619.05137451666,812.50476989732,38792520,2482721344
1761100212,Device: id=0,TX,0,0,0,0,0
