Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1761092893,Device: id=0,RX,0,0,0,0,0
1761092893,Device: id=0,TX,0,0,0,0,0
1761092894,Device: id=0,RX,0,0,0,0,0
1761092894,Device: id=0,TX,0,0,0,0,0
1761092895,Device: id=0,RX,0,0,0,0,0
1761092895,Device: id=0,TX,0,0,0,0,0
1761092896,Device: id=0,RX,0,0,0,0,0
1761092896,Device: id=0,TX,0,0,0,0,0
1761092897,Device: id=0,RX,0,0,0,0,0
1761092897,Device: id=0,TX,0,0,0,0,0
1761092898,Device: id=0,RX,0,0,0,0,0
1761092898,Device: id=0,TX,0,0,0,0,0
1761092899,Device: id=0,RX,0,0,0,0,0
1761092899,Device: id=0,TX,0,0,0,0,0
1761092900,Device: id=0,RX,0,0,0,0,0
1761092900,Device: id=0,TX,0,0,0,0,0
1761092901,Device: id=0,RX,0,0,0,0,0
1761092901,Device: id=0,TX,0,0,0,0,0
1761092902,Device: id=0,RX,0,0,0,0,0
1761092902,Device: id=0,TX,0,0,0,0,0
1761092903,Device: id=0,RX,0,0,0,0,0
1761092903,Device: id=0,TX,0,0,0,0,0
1761092904,Device: id=0,RX,0,0,0,0,0
1761092904,Device: id=0,TX,0,0,0,0,0
1761092905,Device: id=0,RX,0,0,0,0,0
1761092905,Device: id=0,TX,0,0,0,0,0
1761092906,Device: id=0,RX,0,0,0,0,0
1761092906,Device: id=0,TX,0,0,0,0,0
1761092907,Device: id=0,RX,0,0,0,0,0
1761092907,Device: id=0,TX,0,0,0,0,0
1761092908,Device: id=0,RX,0,0,0,0,0
1761092908,Device: id=0,TX,0,0,0,0,0
1761092909,Device: id=0,RX,0,0,0,0,0
1761092909,Device: id=0,TX,0,0,0,0,0
1761092910,Device: id=0,RX,0,0,0,0,0
1761092910,Device: id=0,TX,0,0,0,0,0
1761092911,Device: id=0,RX,0,0,0,0,0
1761092911,Device: id=0,TX,0,0,0,0,0
1761092912,Device: id=0,RX,0,0,0,0,0
1761092912,Device: id=0,TX,0,0,0,0,0
1761092913,Device: id=0,RX,0,0,0,0,0
1761092913,Device: id=0,TX,0,0,0,0,0
1761092914,Device: id=0,RX,0,0,0,0,0
1761092914,Device: id=0,TX,0,0,0,0,0
1761092915,Device: id=0,RX,0,0,0,0,0
1761092915,Device: id=0,TX,0,0,0,0,0
1761092916,Device: id=0,RX,0,0,0,0,0
1761092916,Device: id=0,TX,0,0,0,0,0
1761092917,Device: id=0,RX,0,0,0,0,0
1761092917,Device: id=0,TX,0,0,0,0,0
1761092918,Device: id=0,RX,0,0,0,0,0
1761092918,Device: id=0,TX,0,0,0,0,0
1761092919,Device: id=0,RX,0,0,0,0,0
1761092919,Device: id=0,TX,0,0,0,0,0
1761092920,Device: id=0,RX,0,0,0,0,0
1761092920,Device: id=0,TX,0,0,0,0,0
1761092921,Device: id=0,RX,0,0,0,0,0
1761092921,Device: id=0,TX,0,0,0,0,0
1761092922,Device: id=0,RX,0,0,0,0,0
1761092922,Device: id=0,TX,0,0,0,0,0
1761092923,Device: id=0,RX,0,0,0,0,0
1761092923,Device: id=0,TX,0,0,0,0,0
1761092924,Device: id=0,RX,0,0,0,0,0
1761092924,Device: id=0,TX,0,0,0,0,0
1761092925,Device: id=0,RX,0,0,0,0,0
1761092925,Device: id=0,TX,0,0,0,0,0
1761092926,Device: id=0,RX,0,0,0,0,0
1761092926,Device: id=0,TX,0,0,0,0,0
1761092927,Device: id=0,RX,0,0,0,0,0
1761092927,Device: id=0,TX,0,0,0,0,0
1761092928,Device: id=0,RX,0,0,0,0,0
1761092928,Device: id=0,TX,0,0,0,0,0
1761092929,Device: id=0,RX,0,0,0,0,0
1761092929,Device: id=0,TX,0,0,0,0,0
1761092930,Device: id=0,RX,0,0,0,0,0
1761092930,Device: id=0,TX,0,0,0,0,0
1761092931,Device: id=0,RX,0,0,0,0,0
1761092931,Device: id=0,TX,0,0,0,0,0
1761092932,Device: id=0,RX,0,0,0,0,0
1761092932,Device: id=0,TX,0,0,0,0,0
1761092933,Device: id=0,RX,0,0,0,0,0
1761092933,Device: id=0,TX,0,0,0,0,0
1761092934,Device: id=0,RX,0,0,0,0,0
1761092934,Device: id=0,TX,0,0,0,0,0
1761092935,Device: id=0,RX,0,0,0,0,0
1761092935,Device: id=0,TX,0,0,0,0,0
1761092936,Device: id=0,RX,0,0,0,0,0
1761092936,Device: id=0,TX,0,0,0,0,0
1761092937,Device: id=0,RX,0,0,0,0,0
1761092937,Device: id=0,TX,0,0,0,0,0
1761092938,Device: id=0,RX,0,0,0,0,0
1761092938,Device: id=0,TX,0,0,0,0,0
1761092939,Device: id=0,RX,0,0,0,0,0
1761092939,Device: id=0,TX,0,0,0,0,0
1761092940,Device: id=0,RX,0,0,0,0,0
1761092940,Device: id=0,TX,0,0,0,0,0
1761092941,Device: id=0,RX,0,0,0,0,0
1761092941,Device: id=0,TX,0,0,0,0,0
1761092942,Device: id=0,RX,0,0,0,0,0
1761092942,Device: id=0,TX,0,0,0,0,0
1761092943,Device: id=0,RX,0,0,0,0,0
1761092943,Device: id=0,TX,0,0,0,0,0
1761092944,Device: id=0,RX,0,0,0,0,0
1761092945,Device: id=0,TX,0,0,0,0,0
1761092945,Device: id=0,RX,0,0,0,0,0
1761092946,Device: id=0,TX,0,0,0,0,0
1761092946,Device: id=0,RX,0,0,0,0,0
1761092947,Device: id=0,TX,0,0,0,0,0
1761092947,Device: id=0,RX,0,0,0,0,0
1761092948,Device: id=0,TX,0,0,0,0,0
1761092948,Device: id=0,RX,0,0,0,0,0
1761092949,Device: id=0,TX,0,0,0,0,0
1761092949,Device: id=0,RX,0,0,0,0,0
1761092950,Device: id=0,TX,0,0,0,0,0
1761092951,Device: id=0,RX,0,0,0,0,0
1761092951,Device: id=0,TX,0,0,0,0,0
1761092952,Device: id=0,RX,0,0,0,0,0
1761092952,Device: id=0,TX,0,0,0,0,0
1761092953,Device: id=0,RX,0,0,0,0,0
1761092953,Device: id=0,TX,0,0,0,0,0
1761092954,Device: id=0,RX,0,0,0,0,0
1761092954,Device: id=0,TX,0,0,0,0,0
1761092955,Device: id=0,RX,0,0,0,0,0
1761092955,Device: id=0,TX,0,0,0,0,0
1761092956,Device: id=0,RX,0,0,0,0,0
1761092956,Device: id=0,TX,0,0,0,0,0
1761092957,Device: id=0,RX,0,0,0,0,0
1761092957,Device: id=0,TX,0,0,0,0,0
1761092958,Device: id=0,RX,0,0,0,0,0
1761092958,Device: id=0,TX,0,0,0,0,0
1761092959,Device: id=0,RX,0,0,0,0,0
1761092959,Device: id=0,TX,0,0,0,0,0
1761092960,Device: id=0,RX,0,0,0,0,0
1761092960,Device: id=0,TX,0,0,0,0,0
1761092961,Device: id=0,RX,0,0,0,0,0
1761092961,Device: id=0,TX,0,0,0,0,0
1761092962,Device: id=0,RX,0,0,0,0,0
1761092962,Device: id=0,TX,0,0,0,0,0
1761092963,Device: id=0,RX,0,0,0,0,0
1761092963,Device: id=0,TX,0,0,0,0,0
1761092963,Device: id=0,RX,0,0,0,0,0
1761092963,Device: id=0,TX,0,0,0,0,0
