,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185085.15509783
1,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185360.23579433002
2,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,186061.8132448
3,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185753.13452374
4,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185644.80263510998
5,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185871.8184838
6,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185706.16497473998
7,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185577.10573955
8,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,186081.42347881
9,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185137.12756726
10,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185654.04214757998
11,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185109.39321903
12,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185631.11978747
13,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185579.13083711
14,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185521.52702434
15,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185735.03274551002
16,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185580.49691160998
17,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185476.15291305
18,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185731.76845108
19,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185664.13689215
20,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185403.86943020002
21,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185587.47303928
22,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185133.37537589
23,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185440.65915161002
24,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185205.83059712002
25,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185262.03863713
26,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185203.94985023
27,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185466.70719999
28,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185283.08719191
29,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185817.75772429
30,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,184988.97818079
31,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185408.58640561
32,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185143.63597983
33,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185603.94957481
34,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185499.34102709
35,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185984.5391535
36,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185103.2473086
37,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185543.34801619
38,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185307.60628073002
39,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,186179.37880149
40,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,186265.23194045
41,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,186236.91308254
42,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185749.97358031
43,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185319.61921575
44,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185696.81098150002
45,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185268.32237589
46,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185486.00165887
47,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,184891.50354622
48,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185433.28950629002
49,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185416.14193744
50,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185476.11083046
51,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185816.0176593
52,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185869.00655954
53,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185431.51427356
54,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,186105.83866728
55,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185500.20803427
56,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185823.86043832998
57,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185412.25506271
58,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185328.53579107
59,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185523.87889432002
60,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185489.61900382
61,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185853.74890511
62,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185890.98067974
63,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185255.96803322
64,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185609.64969887
65,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185749.27252318
66,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185576.54552673
67,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185285.76309264998
68,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185628.14318676
69,3,1,tx,vpp,1508,ids,ukebpfjit_nompk,2,185689.98707147
