,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,64,filter,ukebpfjit,0,2078061.24498
1,3,1,rx,vpp,64,filter,ukebpfjit,0,2065384.81013
2,3,1,rx,vpp,64,filter,ukebpfjit,0,2076819.55645
3,3,1,rx,vpp,64,filter,ukebpfjit,0,2077054.12541
4,3,1,rx,vpp,64,filter,ukebpfjit,0,2071842.69038
5,3,1,rx,vpp,64,filter,ukebpfjit,0,2068271.08434
6,3,1,rx,vpp,64,filter,ukebpfjit,0,2065604.76788
7,3,1,rx,vpp,64,filter,ukebpfjit,0,2063851.33099
8,3,1,rx,vpp,64,filter,ukebpfjit,0,2060082.32932
9,3,1,rx,vpp,64,filter,ukebpfjit,0,2055255.44267
10,3,1,rx,vpp,64,filter,ukebpfjit,0,2060251.24378
11,3,1,rx,vpp,64,filter,ukebpfjit,0,2058503.79747
